restaurant,address,latitude,longitude,status,tables,booth,ppp,loan,jobs
Freda's,"993 Columbus Ave, New York, NY 10025",40.8009166999999,-73.9613138,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Demitasse,"973 Columbus Ave, New York, NY 10025",40.8002891,-73.9618127999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Sheshe,"961 Columbus Ave, New York, NY 10025",40.799918,-73.962069,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Chirping Chicken,"932 Columbus Ave, New York, NY 10025",40.7991484,-73.9632822,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Doaba Deli,"945 Columbus Ave, New York, NY 10025",40.7993994,-73.9623762,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Mekong,"917 Columbus Ave, New York, NY 10025",40.7983689,-73.9632041,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Benny's,"906 Columbus Ave, New York, NY 10025",40.7982872,-73.9637841,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Suma,"964 Amsterdam Ave, New York, NY 10025",40.8014793,-73.9653026,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Domino's,"965 Amsterdam Ave, New York, NY 10025",40.8012433,-73.9647422,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Happy Hot Hunan,"969 Amsterdam Ave, New York, NY 10025",40.8013524,-73.9646963,Outdoor,4,0,"$0-$150k, 0 jobs created",$0-$150k,0
Subway,"971 Amsterdam Ave Store 1, New York, NY 10025",40.8014295,-73.9646963,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Insomnia,"1028 Amsterdam Ave, New York, NY 10025",40.8034893,-73.9637815,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Hula Poke,"1028 Amsterdam Ave, New York, NY 10025",40.8034893,-73.9637815,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
The New York Basics,"1090 Amsterdam Ave, New York, NY 10025",40.8054543,-73.9624786999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Strokos,"1090 Amsterdam Ave, New York, NY 10025",40.8054543,-73.9624786999999,Takeout,0,0,"$150-350k, 40 jobs retained",$150k-$350k,40
Hamilton Deli,"1129 Amsterdam Ave, New York, NY 10025",40.8064744,-73.9610952,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Friedman's,"1187 Amsterdam Ave, New York, NY 10027",40.8082925,-73.9597661,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Subs Conscious,"1213 Amsterdam Ave, New York, NY 10027",40.8089695,-73.9591987,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Sliced,"1215 Amsterdam Ave, New York, NY 10027",40.8089857,-73.9591141,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Appletree Deli,"1225 Amsterdam Ave, New York, NY 10027",40.8093936,-73.9588993999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Dunkin,"1235 Amsterdam Avenue. New York, NY 10027",40.8098079,-73.9584893,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
